Town/City,Clerk,Address,Phone,Fax,E-Mail,Town Website Address,State Election Start Time - End Time,Local Election Start Time - End Time,Polling Place,Election Date-Name
DOVER WARD 04,JERRICA ANN VANSYLYVONG-BIZIER,288 CENTRAL AVE DOVER 03820,603-516-6018,603-516-6666,J.BIZIER@DOVER.NH.GOV,WWW.DOVER.NH.GOV,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,GARRISON ELEMENTARY SCHOOL 50 GARRISON RD DOVER 03820,11/03/2026-STATE GENERAL ELECTION
DOVER WARD 05,JERRICA ANN VANSYLYVONG-BIZIER,288 CENTRAL AVE DOVER 03820,603-516-6018,603-516-6666,J.BIZIER@DOVER.NH.GOV,WWW.DOVER.NH.GOV,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,DOVER MIDDLE SCHOOL 16 DALEY DR DOVER 03820,11/03/2026-STATE GENERAL ELECTION
DOVER WARD 06,JERRICA ANN VANSYLYVONG-BIZIER,288 CENTRAL AVE DOVER 03820,603-516-6018,603-516-6666,J.BIZIER@DOVER.NH.GOV,WWW.DOVER.NH.GOV,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,HELLENIC CENTER 219 LONG HILL RD DOVER 03820,11/03/2026-STATE GENERAL ELECTION
DUBLIN,SARAH WHITNEY WILCOX,Po Box 62 DUBLIN 03444,603-563-8859,603-563-9221,TOWNCLERK@TOWNOFDUBLIN.ORG,WWW.TOWNOFDUBLIN.ORG,,,,
DUMMER,JUDY MARCOU,75 HILL ROAD DUMMER 03588,603-449-2006,Not Applicable,DUMMERTOWNCLERK@GMAIL.COM,WWW.DUMMERTOWNCLERK@GMAIL.COM,,,,
DUNBARTON,JENNIFER P CORMIER,1011 SCHOOL STREET DUNBARTON 03046,603-774-3547,Not Applicable,TOWNCLERK@DUNBARTONNH.ORG,DUNBARTONNH.ORG,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,NOYES COMMUNITY CENTER 20 ROBERT ROGERS RD DUNBARTON 03046,11/03/2026-STATE GENERAL ELECTION
DURHAM,RACHEL DEANE,8 NEWMARKET ROAD DURHAM 03824,603-868-5577,603-868-1858,rdeane@ci.durham.nh.us,HTTP://WWW.CI.DURHAM.NH.US,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,OYSTER RIVER HIGH SCHOOL 55 COE DR DURHAM 03824,11/03/2026-STATE GENERAL ELECTION
EAST KINGSTON,SHELBY ANN BRINKERHOFF,PO BOX 249 EAST KINGSTON 03827,603-642-8406,603-642-4918,SBRINKERHOFF@EASTKINGSTONNH.GOV,WWW.EKNH.ORG,,,,
EASTON,CLAIRE CATHERINE MEI,1060 EASTON VALLEY ROAD EASTON 03580,603-823-8017,603-823-7780,TOWNCLERK@EASTONNH.GOV,HTTPS://WWW.EASTONNH.GOV/,11:00 AM - 7:00 PM,3:00 PM - 6:00 PM,EASTON TOWN HALL 1060 EASTON VALLEY RD EASTON 03580,11/03/2026-STATE GENERAL ELECTION
EATON,ROBIN WILLIS NUCCIO,PO BOX 117 EATON 03832,603-447-2840,603-447-2560,EATONNHTC@GMAIL.COM,EATONNH.ORG,11:00 AM - 7:00 PM,11:00 AM - 6:00 PM,EVANS MEMORIAL BLDG - EATON TOWN HALL 83 BROWNFIELD RD EATON 03849,11/03/2026-STATE GENERAL ELECTION
EFFINGHAM,ANDREA HOOD,68 SCHOOL STREET EFFINGHAM 03882,603-539-7551,Not Applicable,TOWNCLERK@EFFINGHAM.NH.GOV,HTTPS://WWW.EFFINGHAMNH.NET/,8:00 AM - 7:00 PM,11:00 AM - 7:00 PM,EFFINGHAM ELEMENTARY SCHOOL 6 PARTRIDGE COVE RD EFFINGHAM 03882,11/03/2026-STATE GENERAL ELECTION
ELLSWORTH,DONNA MARIE O'BRIEN,3 ELLSWORTH POND RD ELLSWORTH 03223,603-726-3551,Not Applicable,DOBELLSWORTH@GMAIL.COM,NONE AVAILABLE,,,,
ENFIELD,MARISSA P IGNACIO,PO BOX 373 ENFIELD 03748,603-632-5001,603-632-5182,TOWNCLERK@ENFIELDNH.GOV,WWW.ENFIELDNH.GOV,,,,
EPPING,ERIKA LEIGH PETHIC-ROBINSON,157 MAIN ST EPPING 03042,603-679-1492,603-679-3002,CLERKANDTAX@EPPINGNH.GOV,EPPINGNH.GOV,,,,
EPSOM,MARGOT M KEYES,1598 DOVER ROAD EPSOM 03234,603-736-4825,Not Applicable,TOWNCLERK@EPSOMNH.GOV,WWW.EPSOMNH.ORG,7:30AM - 7:00 PM,7:30AM - 7:00PM,EPSOM BIBLE CHURCH 398 BLACK HALL RD EPSOM 03234,11/03/2026-STATE GENERAL ELECTION
ERROL,JENNIFER M WARD,PO BOX 100 ERROL 03579,603-482-3351,603-482-3804,JWARD@ERROLNH.GOV,WWW.ERROLNH.ORG,8:00 AM - 7:00 PM,11:00 AM - 7:00 PM,ERROL TOWN HALL 33 MAIN ST ERROL 03579,11/03/2026-STATE GENERAL ELECTION
ERVING'S LOCATION,MARCIA LYNN PARKHURST,1679 US Rte 3 ERVING'S LOCATION 03576,603-237-5255,603-237-8270,towncolumbia@myfairpoint.net,COLUMBIANH.ORG,,,,
EXETER,JENNIFER L SHUPE,10 FRONT STREET EXETER 03833,603-773-6105,603-418-6424,JLSHUPE@EXETERNH.GOV,WWW.EXETERNH.GOV,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,TALBOT GYM 30 LINDEN ST EXETER 03833,11/03/2026-STATE GENERAL ELECTION
FARMINGTON WARD 01,SAMUEL S JEROME,356 MAIN STREET FARMINGTON 03835,603-755-3657,603-755-9934,TCTC@FARMINGTON.NH.US,WWW.FARMINGTON.NH.US,,,,
FITZWILLIAM,HEIDI L WOOD,PO BOX 725 FITZWILLIAM 03447,603-585-7214,603-585-7744,FITZCLERK@FITZWILLIAM-NH.GOV,WWW.FITZWILLIAM-NH.GOV,,,,
FRANCESTOWN,PAMELA A FINNELL,27 MAIN STREET FRANCESTOWN 03043,603-547-6251,603-547-2622,CLERKANDTAX@FRANCESTOWNNH.ORG,WWW.FRANCESTOWNNH.ORG,,,,
FRANCONIA,CAROL FRANCES WILLS,PO BOX 900 FRANCONIA 03580,603-823-5237,603-823-5581,TOWNCLERK@FRANCONIANH.GOV,WWW.FRANCONIANH.ORG,8:00 AM - 7:00 PM,1:00 - 8:00,FRANCONIA TOWN HALL 421 MAIN ST FRANCONIA 03580,11/03/2026-STATE GENERAL ELECTION
FRANKLIN WARD 01,MICHELLE STANYAN,316 CENTRAL STREET FRANKLIN 03235,603-934-3109,603-934-7413,MSTANYAN@FRANKLINNH.GOV,WWW.FRANKLINNH.GOV,,,,
FRANKLIN WARD 02,MICHELLE STANYAN,316 CENTRAL STREET FRANKLIN 03235,603-934-3109,603-934-7413,MSTANYAN@FRANKLINNH.GOV,WWW.FRANKLINNH.GOV,,,,
FRANKLIN WARD 03,MICHELLE STANYAN,316 CENTRAL STREET FRANKLIN 03235,603-934-3109,603-934-7413,MSTANYAN@FRANKLINNH.GOV,WWW.FRANKLINNH.GOV,,,,
FREEDOM,A ELIZABETH PRIEBE,PO BOX 457 FREEDOM 03836,603-539-8269,603-539-8270,FREEDOMTOWNCLERK@TOWNOFFREEDOMNH.GOV,WWW.TOWNOFFREEDOMNH.GOV,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,FREEDOM ELEMENTARY SCHOOL 40 LOON LAKE RD FREEDOM 03836,11/03/2026-STATE GENERAL ELECTION
FREMONT,DEBORAH A CAPUTO,PO BOX 120 FREMONT 03044,603-895-8693,603-895-3149,CLERKCOLLECTOR@FREMONT.NH.GOV,WWW.FREMONT.NH.GOV,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,ELLIS SCHOOL 432 MAIN ST FREMONT 03044,11/03/2026-STATE GENERAL ELECTION
GILFORD,DANIELLE LAFOND,47 CHERRY VALLEY RD GILFORD 03249,603-527-4713,603-527-4719,DLAFOND@GILFORDNH.GOV,HTTP://WWW.GILFORDNH.GOV,,,,
GILMANTON,ELISE N SMITH,PO BOX 550 GILMANTON 03237,603-267-6726,603-267-6701,TCTX@GILMANTONNH.GOV,WWW.GILMANTONNH.GOV,,,,
GILSUM,DEBRA REILLY,650 NH Route 10 GILSUM 03448,603-357-0320,Not Applicable,TOWNCLERK@GILSUM-NH.GOV,HTTPS://GILSUM-NH.GOV/,8:00 AM - 7:00 PM,1:00 PM - 6:00 PM,GILSUM COMMUNITY CENTER 640 ROUTE 10 GILSUM 03448,11/03/2026-STATE GENERAL ELECTION
GOFFSTOWN WARD 01,JENNIFER E SULLIVAN,16 MAIN STREET GOFFSTOWN 03045,603-497-8990,603-497-5710,JSULLIVAN@GOFFSTOWNNH.GOV,WWW.GOFFSTOWNNH.GOV,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,GOFFSTOWN HIGH SCHOOL 27 WALLACE RD GOFFSTOWN 03045,11/03/2026-STATE GENERAL ELECTION
GOFFSTOWN WARD 05,JENNIFER E SULLIVAN,16 MAIN STREET GOFFSTOWN 03045,603-497-8990,603-497-5710,JSULLIVAN@GOFFSTOWNNH.GOV,WWW.GOFFSTOWNNH.GOV,7:00 AM - 7:00 PM,7:00 - 7:00 PM,BARTLETT ELEMENTARY SCHOOL 689 MAST RD GOFFSTOWN 03102,11/03/2026-STATE GENERAL ELECTION
GORHAM,SUSAN VALLIERE,20 PARK STREET GORHAM 03581,603-466-9434,Not Applicable,SVALLIERE@GORHAMNH.GOV,WWW.GORHAMNH.GOV,8:00 AM - 7:00 PM,10:00 AM - 6:00 PM,GORHAM TOWN HALL 20 PARK ST GORHAM 03581,11/03/2026-STATE GENERAL ELECTION
GOSHEN,CINDY L WILLIAMS,PO BOX 58 GOSHEN 03752,603-863-5655,Not Applicable,TOWNOFGOSHEN@GOSHENNH.ORG,WWW.GOSHENNH.ORG,,,,
GRAFTON,BONNIE J HAUBRICH,PO BOX 277 GRAFTON 03240,603-523-7270,603-523-4986,GRAFTONTC2008@HOTMAIL.COM,WWW.TOWNOFGRAFTONNH.COM,,,,
GRANTHAM,KENNETH BYRD STORY,PO BOX 135 GRANTHAM 03753,603-863-5608,603-863-4499,kstory@granthamnh.gov,WWW.GRANTHAMNH.GOV,,,,
GREENFIELD,DORENE E ADAMS,PO BOX 256 GREENFIELD 03047,603-547-2782,Not Applicable,TOWNCLERK@GREENFIELD-NH.GOV,WWW.GREENFIELD-NH.GOV,8:00 AM - 7:00 PM,10:00 AM - 7:00 PM,GREENFIELD MEETING HOUSE 776 FOREST RD GREENFIELD 03047,11/03/2026-STATE GENERAL ELECTION
GREENLAND,AMY KATHERINE BAUER,11 TOWN SQUARE GREENLAND 03840,603-431-7111,603-430-3761,ABAUER@GREENLAND.NH.GOV,WWW.GREENLAND.NH.GOV,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,GREENLAND CENTRAL SCHOOL 70 POST RD GREENLAND 03840,11/03/2026-STATE GENERAL ELECTION
GREEN'S GRANT,SUSAN VALLIERE,20 PARK STREET GREEN'S GRANT 03581,603-466-9434,603-466-2744,SVALLIERE@GORHAMNH.GOV,WWW.GORHAMNH.GOV,8:00 AM - 7:00 PM,10:00 AM - 06:00 PM,GORHAM TOWN HALL 20 PARK ST GREEN'S GRANT 03581,11/03/2026-STATE GENERAL ELECTION
GREENVILLE,MELISSA DESROSIERS,46 MAIN ST GREENVILLE 03048,603-878-4155,603-878-4951,CLERK-COLLECTOR@COMCAST.NET,WWW.GREENVILLENH.ORG,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,GREENVILLE ELEMENTARY SCHOOL 16 ADAMS ST GREENVILLE 03048,11/03/2026-STATE GENERAL ELECTION
GROTON,RUTH ELAINE MILLETT,754 NORTH GROTON ROAD GROTON 03241,603-744-8849,603-744-8803,TOWNCLERK@GROTONNH.ORG,GROTONNH.ORG,,,,
HADLEY'S PURCHASE,CHRISTINA ZORNIO,20 PARK ST HADLEY'S PURCHASE,603-466-2744,603-466-2744,CZORNIO@GORHAMNH.ORG,Not Applicable,,,,
HALE'S LOCATION,CHERYL ANN NEALLEY,56 TOWN HALL RD HALE'S LOCATION 03845,603-356-2300,603-356-2300,TOWNCLERK@TOWNOFBARTLETTNH.ORG,WWW.TOWNOFBARTLETTNH.ORG,08:00 AM - 07:00 PM,08:00 AM - 07:00 PM,BARTLETT ELEMENTARY 1313 US ROUTE 302 BARTLETT - FOR POLLING LOCATION ONLY BARTLETT 03812,11/03/2026-STATE GENERAL ELECTION
HAMPSTEAD,PATRICIA CURRAN,PO BOX 298 HAMPSTEAD 03841,603-329-4100,Not Applicable,TOWNCLERK@HAMPSTEADNH.US,WWW.HAMPSTEADNH.US,,,,
HAMPTON,CHERYL ANN HILDRETH,100 WINNACUNNET ROAD HAMPTON 03842,603-926-0406,603-929-5917,TOWNCLERK@HAMPTONNH.GOV,HAMPTONNH.GOV,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,WINNACUNNET HIGH SCHOOL CAFETERIA 1 ALUMNI DR HAMPTON 03842,11/03/2026-STATE GENERAL ELECTION
HAMPTON FALLS,STEPHANIE E GRANT,1 DRINKWATER ROAD HAMPTON FALLS 03844,603-926-4618,603-926-1848,TOWNCLERKCOLLECT@HAMPTONFALLS.ORG,WWW.HAMPTONFALLS.ORG,,,,
HANCOCK,JOAN JOSEPH,PO BOX 6 HANCOCK 03449,603-525-4441,603-525-4427,CLERK@HANCOCKNH.GOV,WWW.HANCOCKNH.ORG,08:00 AM - 07:00 PM,08:00 AM - 07:00 PM,MEEETINGHOUSE 41 MAIN ST HANCOCK 03449,11/03/2026-STATE GENERAL ELECTION
HANOVER,TRACY WALSH,PO BOX 483 HANOVER 03755,603-640-3200,603-643-1720,TOWNCLERK@HANOVERNH.ORG,WWW.HANOVERNH.ORG,07:00 AM - 07:00 PM,07:00 AM - 07:00 PM,HANOVER HIGH SCHOOL 41 LEBANON ST HANOVER 03755,11/03/2026-STATE GENERAL ELECTION
HARRISVILLE,CATHERINE LOVAS,PO BOX 284 HARRISVILLE 03450,603-827-5546,603-827-2917,TOWNCLERK@HARRISVILLENH.ORG,WWW.HARRISVILLENH.ORG,8:00 AM - 7:00 PM,11:00 AM - 7:00 PM,TOWN OFFICES 705 CHESHAM RD HARRISVILLE 03450,11/03/2026-STATE GENERAL ELECTION
HART'S LOCATION,KATHLEEN LANDRY,PO BOX 540 HART'S LOCATION 03812,603-374-6397,Not Applicable,HARTSLOCATIONTC@GMAIL.COM,HARTSLOCATION.COM,11:00AM - 7:00PM,11:00AM - 7:00PM,NOTCHLAND INN 2 MOREY RD HART'S LOCATION 03812,11/03/2026-STATE GENERAL ELECTION
HAVERHILL,LINDSAY M JOHNK,2975 DARTMOUTH COLLEGE HWY HAVERHILL 03774,603-787-6200,603-787-2226,TOWNCLERK@HAVERHILL-NH.COM,WWW.HAVERHILL-NH.COM,8:00 AM - 7:00 PM,8:00 AM - 6:00 PM,TOWN MUNICIPAL BUILDING 2975 DARTMOUTH COLLEGE HWY HAVERHILL 03774,11/03/2026-STATE GENERAL ELECTION
HEBRON,TRACEY STEENBERGEN,PO BOX 55 HEBRON 03241,603-744-7999,603-744-5330,CLERK@HEBRONNH.GOV,HEBRONNH.GOV,11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,PUBLIC SAFETY BUILDING 37 GROTON RD HEBRON 03241,11/03/2026-STATE GENERAL ELECTION
HENNIKER,DEBORAH C AUCOIN,18 DEPOT HILL ROAD HENNIKER 03242,603-428-3240,603-428-4366,DEB.AUCOIN@HENNIKERNH.GOV,WWW.HENNIKER.ORG,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,HENNIKER COMMUNITY SCHOOL 51 WESTERN AVE HENNIKER 03242,11/03/2026-STATE GENERAL ELECTION
HILL,SHELLY J HENRY,30 CRESCENT STREET #2 HILL 03243,603-934-3951,603-934-2011,HILLTWNCLK@COMCAST.NET,WWW.TOWNOFHILLNH.ORG,,,,
HILLSBOROUGH,DEBORAH J MCDONALD,PO BOX 1699 HILLSBOROUGH 03244,603-464-3877,603-464-4270,DEBBIE@HILLSBOROUGHNH.NET,WWW.TOWN.HILLSBOROUGH.NH.US,,,,
HINSDALE,JULIE M SEYMOUR,PO Box 637 HINSDALE 03451,603-336-5719,603-336-5711,JSEYMOUR@HINSDALENH.ORG,WWW.TOWN.HINSDALE.NH.US,,,,
HOLDERNESS,JAMI W WHITE-LYFORD,PO BOX 203 HOLDERNESS 03245,603-968-7536,603-968-9954,TCTC@HOLDERNESS-NH.GOV,WWW.HOLDERNESS-NH.GOV,8:00 AM - 7:00 PM,10:00 AM - 7:00 PM,HOLDERNESS TOWN HALL 1089 US RT 3 HOLDERNESS 03245,11/03/2026-STATE GENERAL ELECTION
HOLLIS,DIANE T LEAVITT,3 MARKETPLACE G HOLLIS 03049,603-465-2064,Not Applicable,TOWNCLERK@HOLLISNH.ORG,WWW.HOLLISNH.ORG,7:00 AM - 7:00 PM,07:00 AM - 07:00 PM,HOLLIS/BROOKLINE CO-OPERATIVE HIGH SCHOOL 24 CAVALIER CT HOLLIS 03049,11/03/2026-STATE GENERAL ELECTION
HOOKSETT,KARINA TOWNE,35 MAIN STREET HOOKSETT 03106,603-419-4004,603-419-4000,KTOWNE@HOOKSETT.GOV,WWW.HOOKSETT.GOV,,,,
HOPKINTON,EMILY A CERIELLO,330 MAIN ST HOPKINTON 03229,603-746-3180,Not Applicable,TCTC@HOPKINTON-NH.GOV,WWW.HOPKINTON-NH.GOV,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,HOPKINTON HIGH SCHOOL 297 PARK AVE HOPKINTON 03229,11/03/2026-STATE GENERAL ELECTION
HUDSON WARD 01,EMILIE LECLERC,12 SCHOOL STREET HUDSON 03051,603-816-1279,603-816-1292,ELECLERC@HUDSONNH.GOV,WWW.HUDSONNH.GOV,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,HUDSON MEMORIAL SCHOOL 1 MEMORIAL DR HUDSON 03051,11/03/2026-STATE GENERAL ELECTION
HUDSON WARD 02,EMILIE LECLERC,12 SCHOOL STREET HUDSON 03051,603-816-1279,603-816-1292,ELECLERC@HUDSONNH.GOV,WWW.HUDSONNH.GOV,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,ALVIRNE HIGH SCHOOL 200 DERRY RD HUDSON 03051,11/03/2026-STATE GENERAL ELECTION
JACKSON,KAREN ELIZABETH BURTON,PO BOX 336 JACKSON 03846,603-383-4223,603-383-6980,JXNTCTC@JACKSON-NH.GOV,WWW.JACKSON-NH.GOV,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,WHITNEY COMMUNITY CENTER 16 BLACK MOUNTAIN RD JACKSON 03846,11/03/2026-STATE GENERAL ELECTION
JAFFREY,KELLY ROLLINS,28 MAIN ST JAFFREY 03452,603-532-7861,603-532-7862,KROLLINS@TOWNOFJAFFREY.COM,WWW.TOWNOFJAFFREY.COM,7:00AM - 7:00PM,7:00AM - 7:00PM,PRATT AUDITORIUM 10 CONANT WAY JAFFREY 03452,11/03/2026-STATE GENERAL ELECTION
JEFFERSON,JENNIFER M KENISON,PO BOX 81 JEFFERSON 03583,603-586-7059,603-586-7102,TOWNCLERK@JEFFERSONNH.ORG,WWW.JEFFERSONNH.ORG,8:00 AM - 7:00 PM,NOON - 8:00 PM,JEFFERSON COMMUNITY CENTER 178 MEADOWS RD JEFFERSON 03583,11/03/2026-STATE GENERAL ELECTION
KEENE WARD 01,TERRI MARTIN HOOD,3 WASHINGTON STREET KEENE 03431,603-352-0133,603-283-5653,KEENEVOTES@KEENENH.GOV,WWW.KEENENH.GOV,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,MICHAEL E.J. BLASTOS COMMUNITY ROOM 400 MARLBORO ST KEENE 03431,11/03/2026-STATE GENERAL ELECTION
KEENE WARD 02,TERRI MARTIN HOOD,3 WASHINGTON STREET KEENE 03431,603-352-0133,603-283-5653,KEENEVOTES@KEENENH.GOV,WWW.KEENENH.GOV,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,KEENE PARKS AND RECREATION CENTER 312 WASHINGTON ST KEENE 03431,11/03/2026-STATE GENERAL ELECTION
KEENE WARD 03,TERRI MARTIN HOOD,3 WASHINGTON STREET KEENE 03431,603-352-0133,603-283-5653,KEENEVOTES@KEENENH.GOV,WWW.KEENENH.GOV,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,KEENE MIDDLE SCHOOL 167 MAPLE AVE KEENE 03431,11/03/2026-STATE GENERAL ELECTION
KEENE WARD 04,TERRI MARTIN HOOD,3 WASHINGTON STREET KEENE 03431,603-352-0133,603-283-5653,KEENEVOTES@KEENENH.GOV,WWW.KEENENH.GOV,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,SYMONDS SCHOOL 79 PARK AVE KEENE 03431,11/03/2026-STATE GENERAL ELECTION
KEENE WARD 05,TERRI MARTIN HOOD,3 WASHINGTON STREET KEENE 03431,603-352-0133,603-283-5653,KEENEVOTES@KEENENH.GOV,WWW.KEENENH.GOV,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,MONADNOCK COVENANT CHURCH 90 BASE HILL RD KEENE 03431,11/03/2026-STATE GENERAL ELECTION
KENSINGTON,SARAH WIGGIN,95 AMESBURY RD KENSINGTON 03833,603-772-5423,603-772-6841,TOWNCLERK@KENSINGTONNH.GOV,WWW.KENSINGTONNH.GOV,,,,
KILKENNY,JENNIFER MAE KENISON,178 MEADOWS ROAD KILKENNY 03583,603-586-7059,603-586-7102,TOWNCLERK@JEFFERSONNH.ORG,Not Applicable,,,,
KINGSTON,TAMMY LOUISE BAKIE,163 main street KINGSTON 03848,603-642-3112,Not Applicable,TOWNCLERK@KINGSTONNH.ORG,WWW.KINGSTONNH.ORG,08:00AM - 08:00PM,08:00AM - 08:00PM,SANBORN REGIONAL HIGH SCHOOL GYM 17 DANVILLE RD KINGSTON 03848,11/03/2026-STATE GENERAL ELECTION
LACONIA WARD 01,KATIE GARGANO,PO BOX 489 LACONIA 03247,603-527-1265,603-524-1766,CITYCLERK@LACONIANH.GOV,WWW.LACONIANH.GOV,7:00 AM - 7:00 PM,08:00 AM - 06:00 PM,CHURCH OF JESUS CHRIST LATTER DAY SAINTS 1244 OLD NORTH MAIN ST LACONIA 03246,11/03/2026-STATE GENERAL ELECTION
LACONIA WARD 02,KATIE GARGANO,PO BOX 489 LACONIA 03247,603-527-1265,603-524-1766,CITYCLERK@LACONIANH.GOV,WWW.LACONIANH.GOV,7:00 AM - 7:00 PM,08:00 AM - 6:00 PM,ST ANDRE BESSETTE PARISH HALL 31 GILFORD AVE LACONIA 03246,11/03/2026-STATE GENERAL ELECTION
LACONIA WARD 03,KATIE GARGANO,PO BOX 489 LACONIA 03247,603-527-1265,603-524-1766,CITYCLERK@LACONIANH.GOV,WWW.LACONIANH.GOV,7:00 AM - 7:00 PM,8:00AM - 6:00PM,LACONIA MIDDLE SCHOOL - MULTI-PURPOSE ROOM 150 MCGRATH ST LACONIA 03246,11/03/2026-STATE GENERAL ELECTION
LACONIA WARD 04,KATIE GARGANO,PO BOX 489 LACONIA 03247,603-527-1265,603-524-1766,CITYCLERK@LACONIANH.GOV,WWW.LACONIANH.GOV,7:00 AM - 7:00 PM,08:00 AM - 06:00 PM,NEW COVENANT CHURCH @ MEMORIAL PARK CLUBHOUSE 31 LINDSAY CT LACONIA 03246,"11/03/2026-LACONIA MUNICIPAL SCHOOL ELECTION, 11/03/2026-STATE GENERAL ELECTION"
LACONIA WARD 05,KATIE GARGANO,PO BOX 489 LACONIA 03247,603-527-1265,603-524-1766,CITYCLERK@LACONIANH.GOV,WWW.LACONIANH.GOV,7:00 AM - 7:00 PM,08:00 AM - 06:00 PM,WOODLAND HEIGHTS ELEMENTARY SCHOOL 225 WINTER ST LACONIA 03246,"11/03/2026-LACONIA MUNICIPAL SCHOOL ELECTION, 11/03/2026-STATE GENERAL ELECTION"
LACONIA WARD 06,KATIE GARGANO,PO BOX 489 LACONIA 03247,603-527-1265,603-524-1766,CITYCLERK@LACONIANH.GOV,WWW.LACONIANH.GOV,7:00 AM - 7:00 PM,08:00 AM - 06:00 PM,LEAVITT PARK CLUBHOUSE 334 ELM ST LACONIA 03246,11/03/2026-STATE GENERAL ELECTION
LANCASTER,CHARITY M BAKER,25 MAIN STREET LANCASTER 03584,603-788-3391,Not Applicable,TOWNCLERK@LANCASTERNH.ORG,HTTPS://LANCASTERNH.ORG,,,,
LANDAFF,CATHERINE A FERONY,12 CENTER HILL ROAD LANDAFF 03585,603-838-6220,Not Applicable,TOWNCLERK@LANDAFFNH.ORG,WWW.LANDAFFNH.ORG,11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,LANDAFF TOWN HALL 12 CENTER HILL RD LANDAFF 03585,11/03/2026-STATE GENERAL ELECTION
LANGDON,KATHRYN R COMEAU,122 NH ROUTE 12A 1 LANGDON 03602,603-835-2389,603-835-6055,LANGDONTOWNCLERK@GMAIL.COM,LANGDONNH.ORG/,,,,
LEBANON WARD 01,JASEYA GIRONA EWING,51 NORTH PARK STREET LEVEL 2 LEBANON 03766,603-448-3054,Not Applicable,JASEYA.EWING@LEBANONNH.GOV,LEBANONNH.GOV,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,SAU ADMINISTRATIVE BUILDING 20 SEMINARY HILL RD WEST LEBANON 03784,11/03/2026-STATE GENERAL ELECTION
LEBANON WARD 02,JASEYA GIRONA EWING,51 NORTH PARK STREET LEVEL 2 LEBANON 03766,603-448-3054,Not Applicable,JASEYA.EWING@LEBANONNH.GOV,LEBANONNH.GOV,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,UNITED METHODIST CHURCH OF LEBANON 18 SCHOOL ST LEBANON 03766,11/03/2026-STATE GENERAL ELECTION
LEBANON WARD 03,JASEYA GIRONA EWING,51 NORTH PARK STREET LEVEL 2 LEBANON 03766,603-448-3054,Not Applicable,JASEYA.EWING@LEBANONNH.GOV,LEBANONNH.GOV,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,CITY HALL COUNCIL CHAMBERS 51 NORTH PARK ST LEBANON 03766,11/03/2026-STATE GENERAL ELECTION
LEE,SHANNON L JAMES-BROWN,249 CALEF HIGHWAY LEE 03861,603-659-2964,603-659-7202,SJAMESBROWN@LEENH.ORG,WWW.LEENH.ORG,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,MAST WAY ELEMENTARY SCHOOL 23 MAST RD LEE 03861,11/03/2026-STATE GENERAL ELECTION
LEMPSTER,KAYLA M BREHIO,856 NH ROUTE 10 LEMPSTER 03605,603-863-3213,603-863-8105,TOWNCLERK@LEMPSTERNH.ORG,WWW.LEMPSTERNH.ORG,8:00 AM - 7:00 PM,8:00AM - 7:00PM,MEETING HOUSE 112 LEMPSTER ST LEMPSTER 03605,11/03/2026-STATE GENERAL ELECTION
LINCOLN,KRISTYN BROPHY,PO BOX 39 LINCOLN 03251,603-745-8971,603-745-6743,TOWNCLERK@LINCOLNNH.GOV,WWW.LINCOLNNH.GOV,8:00 AM - 7:00 PM,10:00AM - 6:00PM,LINCOLN TOWN HALL 148 MAIN ST LINCOLN 03251,11/03/2026-STATE GENERAL ELECTION
LISBON,AUDREY CHAMPAGNE,153 South Main Street LISBON 03585,603-838-2862,603-912-2101,TOWNCLERK@LISBONNH.ORG,LISBONNH.ORG,8:00 AM - 7:00 PM,08:00 AM - 7:00 PM,LISBON FIRE/EMS STATION 153 S MAIN ST LISBON 03585,11/03/2026-STATE GENERAL ELECTION
